Local Time,Label (Target),Attention,Meditation,Alpha,Beta,Theta,Delta,Gamma,Head Pose,Gaze,Emotion
10:17:52 24/5/2026,Sao nhãng,26,84,44902,14381,656517,1164814,2311,Quay trái,Liếc trái,Khó chịu
10:17:53 24/5/2026,Sao nhãng,20,94,51564,7719,434578,621586,2208,Quay phải,Liếc phải,Buồn bã
10:17:54 24/5/2026,Sao nhãng,23,78,68191,16508,472114,613865,4603,Quay phải,Liếc phải,Khó chịu
10:17:55 24/5/2026,Sao nhãng,22,88,58427,12855,212278,788922,3958,Quay trái,Liếc trái,Bình thường
10:17:56 24/5/2026,Sao nhãng,31,66,49490,10564,474800,593341,3669,Ngẩng lên,Liếc trái,Buồn bã
10:17:57 24/5/2026,Sao nhãng,14,66,41781,17199,772009,1345867,1975,Quay trái,Liếc trái,Buồn bã
10:17:58 24/5/2026,Sao nhãng,13,73,42367,11449,530225,1194823,3694,Quay phải,Liếc phải,Vui vẻ
10:17:59 24/5/2026,Sao nhãng,36,60,54138,12847,255684,1295789,2742,Ngẩng lên,Liếc trái,Buồn bã
10:18:00 24/5/2026,Sao nhãng,34,78,49555,11218,286068,874480,3142,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:18:01 24/5/2026,Sao nhãng,12,65,33379,11135,202470,1270485,4454,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:18:02 24/5/2026,Sao nhãng,80,78,53558,8998,305184,1164746,5074,Nhìn thẳng,Liếc phải,Bình thường
10:18:03 24/5/2026,Sao nhãng,10,73,56998,10363,396220,934532,3917,Quay trái,Liếc trái,Buồn bã
10:18:04 24/5/2026,Sao nhãng,33,89,46975,10412,473305,965604,3659,Quay phải,Liếc phải,Khó chịu
10:18:05 24/5/2026,Sao nhãng,31,82,50455,13464,712923,1489462,3745,Quay phải,Liếc phải,Buồn bã
10:18:07 24/5/2026,Sao nhãng,21,79,43723,12388,527481,1415075,4094,Nhìn thẳng,Nhìn thẳng,Bình thường
10:18:08 24/5/2026,Sao nhãng,25,66,73902,5583,540444,589703,1259,Quay trái,Liếc trái,Khó chịu
10:18:09 24/5/2026,Sao nhãng,39,84,31078,11311,204325,567787,4202,Nhìn thẳng,Nhìn thẳng,Bình thường
10:18:10 24/5/2026,Sao nhãng,35,95,30607,4587,278914,884430,1385,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:18:11 24/5/2026,Sao nhãng,40,80,29662,4886,542326,1401253,4758,Quay trái,Liếc trái,Khó chịu
10:18:12 24/5/2026,Sao nhãng,28,60,47373,7537,253504,1376871,3371,Quay trái,Liếc trái,Bình thường
10:18:13 24/5/2026,Sao nhãng,38,94,44096,7031,552014,1456835,5831,Quay trái,Liếc trái,Buồn bã
10:18:14 24/5/2026,Sao nhãng,36,63,40832,11329,286391,685339,3328,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:18:15 24/5/2026,Sao nhãng,26,93,27402,10116,290092,554835,5106,Quay trái,Liếc trái,Bình thường
10:18:16 24/5/2026,Sao nhãng,36,73,64212,4993,627525,734863,2077,Quay trái,Liếc trái,Buồn bã
10:18:17 24/5/2026,Sao nhãng,29,76,36780,16338,644871,721440,2363,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:18:18 24/5/2026,Sao nhãng,25,71,57856,6045,286648,1462445,4129,Quay trái,Liếc trái,Khó chịu
10:18:19 24/5/2026,Sao nhãng,32,64,63730,12401,402803,1440259,2726,Quay trái,Liếc trái,Vui vẻ
10:18:20 24/5/2026,Sao nhãng,12,72,43157,16346,487649,769848,3987,Quay trái,Liếc trái,Bình thường
10:18:21 24/5/2026,Sao nhãng,29,64,37934,13371,619452,1443333,4447,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:18:22 24/5/2026,Sao nhãng,22,92,39905,8904,524567,1030045,4798,Nhìn thẳng,Nhìn thẳng,Bình thường
10:18:23 24/5/2026,Sao nhãng,10,85,29842,15139,631034,1398255,3661,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:18:24 24/5/2026,Sao nhãng,22,67,48887,7147,620853,1266498,2258,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:18:25 24/5/2026,Sao nhãng,22,74,54742,9257,461600,1449736,4743,Quay trái,Liếc trái,Buồn bã
10:18:26 24/5/2026,Sao nhãng,17,71,60111,7174,691995,1334861,3018,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:18:27 24/5/2026,Sao nhãng,29,75,45907,7571,617869,1072971,2051,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:18:28 24/5/2026,Sao nhãng,10,89,26695,10026,483490,801751,3476,Quay trái,Liếc trái,Buồn bã
10:18:29 24/5/2026,Sao nhãng,12,89,61135,15111,605496,1020193,2827,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:18:30 24/5/2026,Sao nhãng,31,76,46955,9786,250131,1293283,5522,Quay trái,Liếc lên,Buồn bã
10:18:31 24/5/2026,Tập trung,37,64,36923,9428,486413,1204045,2690,Quay phải,Liếc xuống,Khó chịu
10:18:32 24/5/2026,Sao nhãng,34,78,38978,11937,343511,673213,3057,Quay trái,Liếc trái,Bình thường
10:18:33 24/5/2026,Sao nhãng,10,87,45193,11058,540866,911261,5001,Quay trái,Liếc trái,Buồn bã
10:18:34 24/5/2026,Sao nhãng,23,77,40156,14680,655875,662099,1429,Ngẩng lên,Liếc lên,Bình thường
10:18:35 24/5/2026,Sao nhãng,39,84,58200,9020,754994,1258675,3386,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:18:36 24/5/2026,Sao nhãng,35,86,74519,10325,537533,1339876,4366,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:18:37 24/5/2026,Sao nhãng,13,76,29152,12527,743114,1238374,2518,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:18:38 24/5/2026,Sao nhãng,11,72,45104,6612,586393,1469154,3594,Quay phải,Liếc phải,Buồn bã
10:18:39 24/5/2026,Sao nhãng,13,87,57170,10638,286145,695719,2950,Quay phải,Liếc phải,Khó chịu
10:18:40 24/5/2026,Sao nhãng,23,80,33742,12250,464848,810976,4440,Quay phải,Liếc phải,Bình thường
10:18:41 24/5/2026,Sao nhãng,24,75,58332,12293,298634,1355499,3154,Quay trái,Liếc trái,Vui vẻ
10:18:42 24/5/2026,Sao nhãng,30,74,38477,13951,774128,1264691,4544,Nhìn thẳng,Nhìn thẳng,Bình thường
10:18:43 24/5/2026,Sao nhãng,37,80,29161,14169,777666,1078096,5742,Quay trái,Liếc trái,Buồn bã
10:18:44 24/5/2026,Sao nhãng,40,91,35697,14706,413820,1115577,3952,Quay trái,Liếc trái,Khó chịu
10:18:45 24/5/2026,Sao nhãng,13,82,29989,14178,603896,700441,5761,Quay trái,Liếc trái,Buồn bã
10:18:46 24/5/2026,Sao nhãng,17,67,71410,17493,728776,1347547,2070,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:18:47 24/5/2026,Sao nhãng,35,75,60760,10699,787241,1056530,2717,Quay phải,Liếc phải,Bình thường
10:18:48 24/5/2026,Sao nhãng,36,80,29325,16001,287161,957422,1240,Cúi xuống,Liếc phải,Khó chịu
10:18:49 24/5/2026,Tập trung,37,88,30753,13946,394635,563055,2179,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:18:50 24/5/2026,Sao nhãng,35,95,43573,11010,645592,1275308,4223,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:18:51 24/5/2026,Sao nhãng,14,82,56902,12645,318810,905109,2766,Quay phải,Liếc phải,Khó chịu
10:18:52 24/5/2026,Sao nhãng,32,91,57836,13830,477301,1159124,2022,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:18:53 24/5/2026,Sao nhãng,24,67,52968,13955,360031,1192630,2553,Quay phải,Liếc phải,Khó chịu
10:18:54 24/5/2026,Sao nhãng,25,85,45539,10505,416636,610589,3123,Quay trái,Liếc trái,Buồn bã
10:18:56 24/5/2026,Sao nhãng,33,79,64240,11034,705130,798624,4693,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:18:57 24/5/2026,Sao nhãng,15,88,54868,12663,387411,1050839,4221,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:18:58 24/5/2026,Sao nhãng,28,88,42449,15355,469404,1104380,3457,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:18:59 24/5/2026,Sao nhãng,33,60,36363,12537,609487,1165580,2182,Quay phải,Liếc phải,Khó chịu
10:19:00 24/5/2026,Sao nhãng,36,95,44173,11805,726198,1105384,4999,Quay phải,Liếc phải,Buồn bã
10:19:01 24/5/2026,Sao nhãng,27,88,38210,9855,657381,1451642,5306,Quay phải,Liếc phải,Vui vẻ
10:19:02 24/5/2026,Sao nhãng,35,82,64126,9903,327700,948874,4169,Quay trái,Liếc trái,Buồn bã
10:19:03 24/5/2026,Sao nhãng,10,66,68239,14334,247428,788147,3617,Quay trái,Liếc lên,Buồn bã
10:19:04 24/5/2026,Sao nhãng,37,78,45371,8673,656312,1468605,4488,Quay trái,Liếc trái,Khó chịu
10:19:05 24/5/2026,Sao nhãng,17,60,68045,16468,495824,1308989,3156,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:19:06 24/5/2026,Sao nhãng,17,66,44980,10933,744128,965462,3706,Quay trái,Liếc trái,Khó chịu
10:19:07 24/5/2026,Sao nhãng,19,74,53652,10556,288771,1067482,4453,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:19:08 24/5/2026,Sao nhãng,21,76,44809,9997,466360,1433763,3559,Quay phải,Liếc phải,Khó chịu
10:19:09 24/5/2026,Sao nhãng,15,75,40695,8019,773757,1434181,4999,Quay phải,Liếc phải,Buồn bã
10:19:10 24/5/2026,Sao nhãng,11,78,66580,10136,706850,1194459,5527,Nhìn thẳng,Nhìn thẳng,Bình thường
10:19:11 24/5/2026,Sao nhãng,30,68,48331,12865,431898,995001,2890,Quay phải,Liếc phải,Buồn bã
10:19:12 24/5/2026,Sao nhãng,21,77,48498,9048,639779,1093243,2131,Quay trái,Liếc trái,Buồn bã
10:19:13 24/5/2026,Sao nhãng,28,81,45961,12656,523051,1034921,3648,Quay trái,Liếc trái,Buồn bã
10:19:14 24/5/2026,Sao nhãng,17,94,52922,12112,423422,1458684,2864,Không tìm thấy mặt,Không tìm thấy mắt,Bình thường
10:19:15 24/5/2026,Sao nhãng,31,89,49868,7275,741312,1441971,3450,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:19:16 24/5/2026,Sao nhãng,25,71,32625,13729,577737,1421220,1760,Quay trái,Liếc trái,Buồn bã
10:20:16 24/5/2026,Sao nhãng,24,86,64101,9833,287530,1291227,3279,Ngẩng lên,Liếc trái,Bình thường
10:20:17 24/5/2026,Sao nhãng,32,76,39224,7280,569592,1215513,3636,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:20:18 24/5/2026,Sao nhãng,28,66,53675,7942,264273,929834,5274,Quay phải,Liếc phải,Bình thường
10:20:19 24/5/2026,Sao nhãng,11,62,60740,19474,531339,855621,3516,Quay phải,Liếc phải,Bình thường
10:20:20 24/5/2026,Sao nhãng,14,85,38475,10962,584284,1186274,4227,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:20:21 24/5/2026,Sao nhãng,10,75,60500,17523,251395,1036012,3305,Quay trái,Liếc trái,Buồn bã
10:20:22 24/5/2026,Sao nhãng,19,69,31350,11288,704718,570007,3637,Quay trái,Liếc trái,Bình thường
10:20:23 24/5/2026,Sao nhãng,39,80,50715,17039,366367,1469585,3483,Nhìn thẳng,Nhìn thẳng,Vui vẻ
10:20:24 24/5/2026,Sao nhãng,26,84,66732,14065,629955,683039,4696,Quay trái,Liếc trái,Khó chịu
10:20:25 24/5/2026,Sao nhãng,13,69,46792,16995,381989,830585,3523,Quay phải,Liếc phải,Buồn bã
10:20:26 24/5/2026,Sao nhãng,36,86,43718,16355,514635,1263131,1603,Quay phải,Liếc phải,Buồn bã
10:20:27 24/5/2026,Sao nhãng,24,77,34563,10613,375410,1005070,3186,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:20:28 24/5/2026,Sao nhãng,34,92,63617,15327,722223,1167135,3946,Ngẩng lên,Liếc lên,Khó chịu
10:20:29 24/5/2026,Sao nhãng,32,66,49396,15230,753618,1250214,3849,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:20:30 24/5/2026,Sao nhãng,28,77,33188,7991,410980,761930,5447,Nhìn thẳng,Nhìn thẳng,Bình thường
10:20:31 24/5/2026,Sao nhãng,16,63,44558,10841,416808,818143,2119,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:20:32 24/5/2026,Sao nhãng,25,73,53589,5968,659554,844530,4286,Ngẩng lên,Liếc trái,Buồn bã
10:20:33 24/5/2026,Sao nhãng,15,85,63287,4944,762315,1328009,3181,Quay phải,Liếc phải,Buồn bã
10:20:34 24/5/2026,Sao nhãng,14,82,45961,16636,314177,542002,1897,Quay phải,Liếc phải,Buồn bã
10:20:35 24/5/2026,Sao nhãng,28,88,44534,13681,524978,1291885,4395,Ngẩng lên,Liếc trái,Khó chịu
10:20:36 24/5/2026,Sao nhãng,39,66,37521,6619,418866,1116005,3604,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:20:37 24/5/2026,Sao nhãng,10,86,58676,15228,538196,753115,1801,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:20:38 24/5/2026,Sao nhãng,31,71,49242,13823,553968,1319571,3006,Quay phải,Liếc phải,Khó chịu
10:20:39 24/5/2026,Sao nhãng,20,78,46375,13499,527206,744332,4220,Quay trái,Liếc trái,Buồn bã
10:20:40 24/5/2026,Sao nhãng,40,89,42510,6434,465485,1282892,4412,Ngẩng lên,Liếc trái,Khó chịu
10:20:41 24/5/2026,Sao nhãng,25,93,54085,10919,447167,933738,3876,Cúi xuống,Liếc phải,Bình thường
10:20:42 24/5/2026,Sao nhãng,35,74,48176,11341,709768,1302147,2632,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:20:43 24/5/2026,Sao nhãng,19,68,47197,5626,764270,1311567,2020,Quay phải,Liếc phải,Vui vẻ
10:20:44 24/5/2026,Sao nhãng,16,68,49905,13742,243003,1231257,2474,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:20:45 24/5/2026,Sao nhãng,39,81,49161,12060,387209,1317039,1380,Quay phải,Liếc phải,Buồn bã
10:20:46 24/5/2026,Sao nhãng,39,84,31962,10921,571695,1008520,3255,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:20:47 24/5/2026,Sao nhãng,11,78,55950,8472,502075,936488,3181,Ngẩng lên,Liếc trái,Khó chịu
10:20:49 24/5/2026,Sao nhãng,34,76,44229,14274,697527,568439,2401,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:20:50 24/5/2026,Sao nhãng,39,74,68772,8942,790785,894992,5281,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:20:51 24/5/2026,Sao nhãng,16,89,41962,11771,321601,1112268,1667,Nhìn thẳng,Nhìn thẳng,Bình thường
10:20:52 24/5/2026,Sao nhãng,31,87,41731,10316,527331,667335,4925,Quay trái,Liếc lên,Buồn bã
10:20:53 24/5/2026,Sao nhãng,17,63,41348,8130,782125,976757,3494,Cúi xuống,Liếc phải,Bình thường
10:20:54 24/5/2026,Sao nhãng,31,72,24922,12221,626784,1490512,4217,Quay trái,Liếc trái,Khó chịu
10:20:55 24/5/2026,Sao nhãng,25,62,44214,13683,674252,749859,4835,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:20:56 24/5/2026,Sao nhãng,40,75,45113,8389,300844,940893,4876,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:20:57 24/5/2026,Sao nhãng,65,86,66001,12802,672903,694009,2283,Không tìm thấy mặt,Không tìm thấy mắt,Bình thường
10:20:58 24/5/2026,Sao nhãng,22,79,36697,11896,632941,1331338,2773,Ngẩng lên,Liếc lên,Buồn bã
10:20:59 24/5/2026,Sao nhãng,28,79,48224,11514,264876,863978,1502,Quay trái,Liếc trái,Buồn bã
10:21:00 24/5/2026,Sao nhãng,38,60,56003,14750,746670,1304503,2208,Quay trái,Liếc trái,Buồn bã
10:21:01 24/5/2026,Sao nhãng,19,78,46023,16015,760203,1487944,4741,Quay trái,Liếc trái,Buồn bã
10:21:02 24/5/2026,Sao nhãng,27,95,47100,10882,687857,811977,5117,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:21:03 24/5/2026,Sao nhãng,26,74,27689,17136,456670,859781,2945,Quay trái,Liếc trái,Vui vẻ
10:21:04 24/5/2026,Sao nhãng,52,92,61022,14173,578352,512322,3584,Nhìn thẳng,Liếc xuống,Buồn bã
10:21:05 24/5/2026,Sao nhãng,13,81,30535,16732,703620,1475190,3972,Quay trái,Liếc trái,Buồn bã
10:21:06 24/5/2026,Sao nhãng,32,80,30998,10580,618961,586423,1847,Quay trái,Liếc lên,Khó chịu
10:21:07 24/5/2026,Sao nhãng,13,82,54131,5733,673932,855012,2912,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:21:08 24/5/2026,Sao nhãng,11,69,38485,11422,651658,916723,2821,Quay phải,Liếc phải,Buồn bã
10:21:09 24/5/2026,Sao nhãng,10,79,53596,16189,422735,671185,2820,Quay trái,Liếc trái,Bình thường
10:21:10 24/5/2026,Sao nhãng,32,86,37916,12784,658123,1187864,4955,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:21:11 24/5/2026,Sao nhãng,21,60,20720,9081,622750,757193,1482,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:21:12 24/5/2026,Sao nhãng,36,60,56471,5267,606204,807613,2955,Ngẩng lên,Liếc trái,Khó chịu
10:21:13 24/5/2026,Sao nhãng,35,79,35852,12923,309143,1189021,2459,Không tìm thấy mặt,Không tìm thấy mắt,Bình thường
10:21:14 24/5/2026,Sao nhãng,38,85,53863,9444,553993,1106267,3068,Không tìm thấy mặt,Không tìm thấy mắt,Bình thường
10:21:15 24/5/2026,Sao nhãng,17,76,49200,12364,770018,1427389,2422,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:21:16 24/5/2026,Sao nhãng,30,93,39312,15613,222435,663025,3611,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:21:17 24/5/2026,Sao nhãng,36,66,27088,11208,594504,511781,4362,Quay phải,Liếc phải,Buồn bã
10:21:18 24/5/2026,Sao nhãng,39,62,44726,10370,427012,1090853,4618,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:21:19 24/5/2026,Sao nhãng,39,62,44726,10370,427012,1090853,4618,Quay phải,Liếc xuống,Khó chịu
10:21:20 24/5/2026,Sao nhãng,20,65,40736,17791,336340,531067,1611,Quay trái,Liếc trái,Buồn bã
10:21:21 24/5/2026,Sao nhãng,21,88,47132,13156,731413,1300561,2229,Quay trái,Liếc trái,Buồn bã
10:21:22 24/5/2026,Sao nhãng,23,90,46573,11577,673192,808627,3843,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:21:23 24/5/2026,Sao nhãng,12,79,47236,6027,452504,1115882,3877,Nhìn thẳng,Nhìn thẳng,Bình thường
10:21:24 24/5/2026,Sao nhãng,17,68,26151,7219,630746,1348627,4349,Nhìn thẳng,Nhìn thẳng,Vui vẻ
10:21:25 24/5/2026,Sao nhãng,16,68,45246,8275,333093,1008559,2073,Quay phải,Liếc phải,Buồn bã
10:21:26 24/5/2026,Sao nhãng,32,70,47539,13423,453366,1379690,2881,Quay trái,Liếc trái,Khó chịu
10:21:27 24/5/2026,Sao nhãng,18,86,62665,13309,205710,809802,3785,Quay trái,Liếc trái,Buồn bã
10:21:28 24/5/2026,Sao nhãng,26,66,63009,12044,327319,1067416,3228,Quay phải,Liếc phải,Khó chịu
10:21:29 24/5/2026,Sao nhãng,25,66,68028,16284,553689,1337942,2549,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:21:30 24/5/2026,Sao nhãng,37,94,57646,17385,387179,1422797,3746,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:21:31 24/5/2026,Sao nhãng,33,63,36092,15823,649138,1349114,3659,Quay trái,Liếc trái,Khó chịu
10:21:32 24/5/2026,Sao nhãng,15,94,72149,7005,286634,920018,2488,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:21:33 24/5/2026,Sao nhãng,29,79,53193,12190,223910,1407814,2701,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:21:34 24/5/2026,Sao nhãng,40,84,61503,14983,619146,1369763,3180,Quay phải,Liếc phải,Khó chịu
10:21:35 24/5/2026,Sao nhãng,27,94,57658,4854,200145,989540,2950,Quay phải,Liếc phải,Buồn bã
10:21:36 24/5/2026,Sao nhãng,31,87,46045,18252,443454,1238053,2608,Cúi xuống,Liếc phải,Buồn bã
10:21:37 24/5/2026,Sao nhãng,33,73,35949,9143,244557,1426913,3331,Quay phải,Liếc phải,Khó chịu
10:21:38 24/5/2026,Sao nhãng,19,94,29300,13130,577317,1377072,4591,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:21:40 24/5/2026,Sao nhãng,33,61,49456,3337,474837,1391328,3596,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:21:41 24/5/2026,Sao nhãng,35,68,41504,16390,787998,916151,5303,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:21:42 24/5/2026,Sao nhãng,21,81,36933,13361,358622,1300476,2416,Nhìn thẳng,Nhìn thẳng,Vui vẻ
10:21:43 24/5/2026,Sao nhãng,40,90,40834,7859,466729,1295484,4143,Ngẩng lên,Liếc trái,Khó chịu
10:21:44 24/5/2026,Sao nhãng,20,70,53107,16231,498236,1069015,3984,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:21:45 24/5/2026,Sao nhãng,30,72,40586,7991,727915,689524,4521,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:21:46 24/5/2026,Sao nhãng,30,71,62748,11861,287549,729701,3127,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:21:47 24/5/2026,Sao nhãng,24,80,47949,8451,636698,1252037,3799,Quay trái,Liếc trái,Buồn bã
10:21:48 24/5/2026,Sao nhãng,40,61,68237,14078,228284,598999,4790,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:21:49 24/5/2026,Sao nhãng,27,72,52506,6721,231913,561037,2981,Không tìm thấy mặt,Không tìm thấy mắt,Bình thường
10:21:50 24/5/2026,Sao nhãng,12,89,26710,4805,746305,538351,3621,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:21:51 24/5/2026,Sao nhãng,33,88,35151,15880,781324,1219446,4162,Quay phải,Liếc phải,Khó chịu
10:21:52 24/5/2026,Sao nhãng,23,93,69581,18433,578317,1269393,5063,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:21:53 24/5/2026,Sao nhãng,17,78,46904,17416,533973,1472068,4778,Quay trái,Liếc lên,Buồn bã
10:21:54 24/5/2026,Sao nhãng,32,75,41496,6007,795575,994334,4917,Quay phải,Liếc phải,Khó chịu
10:21:55 24/5/2026,Tập trung,35,73,33589,11346,356781,779663,3330,Không tìm thấy mặt,Không tìm thấy mắt,Bình thường
10:21:56 24/5/2026,Sao nhãng,29,67,38594,10764,515533,606562,4360,Cúi xuống,Liếc phải,Buồn bã
10:21:57 24/5/2026,Sao nhãng,28,71,68399,6589,633514,1264503,3979,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:21:58 24/5/2026,Sao nhãng,28,64,40989,13102,751532,1435127,3095,Quay trái,Liếc trái,Bình thường
10:21:59 24/5/2026,Sao nhãng,19,90,48817,14764,746480,907983,5431,Quay phải,Liếc xuống,Buồn bã
10:22:00 24/5/2026,Sao nhãng,28,61,45931,9901,617374,1091362,2295,Quay trái,Liếc trái,Buồn bã
10:22:01 24/5/2026,Sao nhãng,15,95,48467,7847,386027,632589,4767,Quay phải,Liếc xuống,Vui vẻ
10:22:02 24/5/2026,Sao nhãng,16,66,50546,10945,577516,927445,4979,Quay trái,Liếc trái,Khó chịu
10:22:03 24/5/2026,Sao nhãng,31,93,46239,14955,679402,1183103,3865,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:22:04 24/5/2026,Tập trung,22,86,47680,11012,548253,807091,4005,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:22:05 24/5/2026,Sao nhãng,15,86,47387,16863,279807,1039530,4416,Quay trái,Liếc trái,Khó chịu
10:22:06 24/5/2026,Sao nhãng,17,84,57875,11747,526356,696603,2411,Quay trái,Liếc trái,Buồn bã
10:22:07 24/5/2026,Sao nhãng,26,78,58420,8715,778967,732646,1512,Quay trái,Liếc trái,Bình thường
10:22:08 24/5/2026,Sao nhãng,16,65,65237,10045,668060,637525,3414,Quay trái,Liếc trái,Bình thường
10:22:09 24/5/2026,Sao nhãng,27,77,53070,16076,405170,1152055,2020,Quay trái,Liếc trái,Khó chịu
10:22:10 24/5/2026,Sao nhãng,16,65,62106,6700,551580,1077364,2301,Quay phải,Liếc phải,Buồn bã
10:22:11 24/5/2026,Sao nhãng,14,68,34863,15577,773795,1139886,3689,Quay phải,Liếc phải,Khó chịu
10:22:12 24/5/2026,Sao nhãng,24,77,66668,6166,719172,1253591,3189,Quay phải,Liếc phải,Buồn bã
10:22:13 24/5/2026,Sao nhãng,37,91,38264,10115,634969,971453,3754,Cúi xuống,Liếc phải,Khó chịu
10:22:14 24/5/2026,Sao nhãng,28,83,65519,12614,607553,1324516,1649,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:24:03 24/5/2026,Tập trung,94,45,83026,154461,53018,124181,34611,Cúi xuống,Liếc lên,Bình thường
10:24:04 24/5/2026,Tập trung,78,60,113417,165545,44235,123950,21866,Nhìn thẳng,Nhìn thẳng,Bình thường
10:24:05 24/5/2026,Tập trung,95,41,72225,135611,67400,92837,21309,Nhìn thẳng,Nhìn thẳng,Bình thường
10:24:06 24/5/2026,Tập trung,93,55,76949,210710,34543,88501,44990,Nhìn thẳng,Nhìn thẳng,Bình thường
10:24:07 24/5/2026,Tập trung,95,48,85483,179902,37784,53237,17540,Nhìn thẳng,Nhìn thẳng,Bình thường
10:24:08 24/5/2026,Tập trung,77,60,51816,246297,49712,87291,38199,Nhìn thẳng,Nhìn thẳng,Bình thường
10:24:09 24/5/2026,Tập trung,81,48,103650,204525,23361,129252,21414,Nhìn thẳng,Nhìn thẳng,Bình thường
10:24:10 24/5/2026,Tập trung,97,50,89123,169167,65608,93535,45579,Nhìn thẳng,Nhìn thẳng,Bình thường
10:24:11 24/5/2026,Tập trung,92,51,87647,223712,48232,139894,28647,Quay phải,Liếc lên,Bình thường
10:24:12 24/5/2026,Tập trung,96,50,73473,204115,32775,63467,26642,Nhìn thẳng,Nhìn thẳng,Tức giận
10:24:13 24/5/2026,Tập trung,98,51,76320,210522,61594,62052,22746,Nhìn thẳng,Nhìn thẳng,Bình thường
10:24:14 24/5/2026,Tập trung,92,48,76238,201873,48627,75657,26056,Nhìn thẳng,Nhìn thẳng,Bình thường
10:24:15 24/5/2026,Tập trung,91,54,77435,278570,73719,76691,29376,Nhìn thẳng,Nhìn thẳng,Bình thường
10:24:16 24/5/2026,Tập trung,79,53,80410,269116,56329,55848,33086,Nhìn thẳng,Nhìn thẳng,Bình thường
10:24:17 24/5/2026,Tập trung,80,41,67358,237792,27038,83415,34369,Nhìn thẳng,Nhìn thẳng,Bình thường
10:24:18 24/5/2026,Sao nhãng,79,55,67984,269572,24893,137243,38053,Quay phải,Liếc phải,Bình thường
10:24:19 24/5/2026,Tập trung,95,45,85794,178162,54631,110695,27216,Nhìn thẳng,Nhìn thẳng,Bình thường
